Publication ID,Project ID,Is Active,Sort Order,Title,Authors,Authors Short,Year,Publication Type,Department,Journal or Source,Citation Text,DOI,Abstract,Featured Label,Full Text URL,Project Display Override,Internal Notes,Program Type
rcmi_pub_a_priori_error_estimates_of_tw_2022,,Yes,107,A priori error estimates of two fully discrete coupled schemes for Biot's consolidation model,Huipeng Gu; Mingchao Cai,Huipeng Gu et al.,2022,Journal Article,,,,,,,,,Pilot PI: mingchao.cai@morgan.edu,"GWW, SS, PPP"
rcmi_pub_decoupling_techniques_for_coup_2022,,Yes,108,Decoupling Techniques for Coupled PDE Models in Fluid Dynamics [E],Mingchao Cai,Mingchao Cai,2022,Journal Article,,,,,,,,,Pilot PI: mingchao.cai@morgan.edu,"GWW, SS, PPP"
rcmi_pub_disparities_in_coronavirus_dis_2022,,Yes,109,Disparities in Coronavirus Disease 2019 Outcomes for African Americans: More Studies Are Warranted [M],Shiva Mehravaran; Hussien Ahmed H Abdelgawad; Yun-Chi Chen,Shiva Mehravaran et al.,2022,Journal Article,,,,,,,,,Pilot PI: shiva.mehravaran@morgan.edu,"GWW, PPP"
rcmi_pub_pandemic_fatigue_and_anxiety_s_2022,,Yes,110,Pandemic Fatigue and Anxiety Sensitivity as Associated Factors With Posttraumatic Stress Symptoms Among University Students in South Korea During the Prolonged COVID-19 …,Hee Jun Kim; Timothy J. Meeker; Ingrid Tulloch,Hee Jun Kim et al.,2022,Journal Article,,,,,,,,,Pilot PI: ingrid.tulloch@morgan.edu,"GWW, PPP"
rcmi_pub_differences_in_the_risk_of_hea_2021,,Yes,111,Differences in the Risk of Health Outcomes in COVID-19 Continuum for African Americans in Healthcare Settings: A Systematic Review and Meta-Analysis,Shiva Mehravaran; Hussien Ahmed H Abdelgawad; Yun-Chi Chen,Shiva Mehravaran et al.,2021,Journal Article,,,,,,,,,Pilot PI: shiva.mehravaran@morgan.edu,"GWW, PPP"
rcmi_pub_interocular_symmetry_analysis_2021,,Yes,112,Interocular Symmetry Analysis of Corneal Elevation Using the Fellow Eye as the Reference Surface and Machine Learning [E],Shiva Mehravaran; Mahmudur Rahman,Shiva Mehravaran et al.,2021,Journal Article,,,,,,,,,Pilot PI: shiva.mehravaran@morgan.edu,"GWW, PPP"
rcmi_pub_schur_complement_based_precond_2021,,Yes,113,Schur complement based preconditioners for twofold and block tridiagonal saddle point problems,Mingchao Cai,Mingchao Cai,2021,Journal Article,,,,,,,,,Pilot PI: mingchao.cai@morgan.edu,"GWW, SS, PPP"
rcmi_pub_evaluating_research_centers_in_2020,,Yes,114,"Evaluating Research Centers in Minority Institutions: Framework, metrics, best practices, and challenges [R]",Angela Sy; Shiva Mehravaran,Angela Sy et al.,2020,Journal Article,,,,,,,,,Pilot PI: shiva.mehravaran@morgan.edu,"GWW, PPP"
,,1,,An Immunohistochemical Analysis of Free Radical Stress in the Heart of the HIV-1 Transgenic Rat [E],"Frank Denaro, Myla Worthington",,2020,Basic Science,,,,,,,,,,PPP
,,1,,"Atherosclerotic aortic calcification-associated polymorphism in HDAC9 and associations with mortality, cardiovascular disease, and kidney disease [E]","Douglas F Dluzen, Johan Arnlov",,2020,Health Disparities,,,,,,,,,,PPP
,,1,,"Evaluating Research Centers in Minority Institutions: Framework, metrics, best practices, and challenges [R]","Angela Sy, Shiva Mehravaran",,2020,Journal Article,,,,,,,,,,PPP
,,1,,Evolving trends in the prevalence of hepatitis C virus antibody positivity among HIV‐infected men in a community‐based primary care setting [E],"Farin Kamangar, Yun-Chi Chen",,2020,Journal Article,,,,,,,,,,PPP
,,1,,Mal-light: Enhancing lysine malonylation sites prediction problem using evolutionary-based features [E],"Abdullah Dezjangi, WAKIL AHMAD",,2020,Basic Science,,,,,,,,,,PPP
,,1,,MicroRNA-1253 Regulation of WASF2 (WAVE2) and its Relevance to Racial Health Disparities [E],"Douglas F. Dluzen, Mercy A. Arkorful",,2020,Health Disparities,,,,,,,,,,PPP
,,1,,Morphological Alterations of CAD Cells Overexpressing AKT1 [M],James Wachira,,2020,Basic Science,,,,,,,,,,PPP
,,1,,Phytotoxic effect of silver nanoparticles on seed germination and growth of terrestrial plants [E],Nzube Prisca Egboluche,,2020,Journal Article,,,,,,,,,,PPP
,,1,,"Stress, the gut microbiome and vulnerability for mental health disorders: what can animal models tell us [M]",,,2020,Basic Science,,,,,,,,,,PPP
,,1,,The association between poverty and gene expression within peripheral blood mononuclear cells in a diverse Baltimore City cohort [E],"Douglas F. Dluzen, Nicole S. Arnold, Wendy Camejo Nunez",,2020,Health Disparities,,,,,,,,,,PPP
,,1,,The HIV-1 Transgenic Rat: Relevance for HIV Noninfectious Comorbidity Research [E],"Frank Denaro, Myla Worthington, Sumiko Williams, Christopher C. Krauss",,2020,Basic Science,,,,,,,,,,PPP
,,1,,"A Cross-Sectional Time Course of COVID-19 Related Worry, Perceived Stress, and General Anxiety in the Context of Post-Traumatic Stress Disorder-like Symptomatology [E]",Roger J Mullins,,2021,Journal Article,,,,,,,,,,PPP
,,1,,Building a diverse workforce and thinkforce to reduce health disparities [R],Christine Hohmann,,2021,Health Disparities,,,,,,,,,,PPP
,,1,,Community Engagement Practices at Research Centers in US Minority Institutions: Priority Populations and Innovative Approaches to Advancing Health Disparities Research [R],"Emma Shaffer, Payam Sheikhattari, Tabia Henry Akintobi",,2021,Journal Article,,,,,,,,,,PPP
,,1,,Differences in the Risk of Health Outcomes in COVID-19 Continuum for African Americans in Healthcare Settings: A Systematic Review and Meta-Analysis,"Hussien Ahmed H Abdelgawad, Shiva Mehravaran, Yun-Chi Chen",,2021,Journal Article,,,,,,,,,,PPP
,,1,,Interocular Symmetry Analysis of Corneal Elevation Using the Fellow Eye as the Reference Surface and Machine Learning [E],"Mahmudur Rahman, Shiva Mehravaran",,2021,Journal Article,,,,,,,,,,PPP
,,1,,Phytotoxic effect of silver nanoparticles on seed germination and growth of terrestrial plants [E],Hongtao Yu,,2021,Journal Article,,,,,,,,,,PPP
,,1,,Relationships of educational attainment and household food insecurity with obesity: Findings from the 2007–2016 national health and nutrition examination survey [E],Marcia McMillian,,2021,Health Disparities,,,,,,,,,,PPP
,,1,,Schur complement based preconditioners for twofold and block tridiagonal saddle point problems,Mingchao Cai,,2021,Basic Science,,,,,,,,,,PPP
,,1,,Towards computationally guided design and engineering of a Neisseria meningitidis serogroup W capsule polymerase with altered substrate specificity [M],"James Wachira, Pumtiwitt C McCarthy, Subhadra Paudel",,2021,Basic Science,,,,,,,,,,PPP
,,1,,"Zero-valent iron nanoparticles induce reactive oxygen species in the cyanobacterium, Fremyella diplosiphon [E]","Ladonna Wyatt, Samson M Gichuki, Viji Sitther, Yavuz S Yalchin",,2021,Journal Article,,,,,,,,,,PPP
,,1,,"A Cross-Sectional Time Course of COVID-19 Related Worry, Perceived Stress, and General Anxiety in the Context of Post-Traumatic Stress Disorder-like Symptomatology [E]","Ingrid Tulloch, Timothy Meeker",,2022,Journal Article,Psychology,,,,,,,,,PPP
,,1,,A mixed virtual element method for Biot's consolidation model [E],"Feng Wang, Mingchao Cai",,2022,Basic Science,,,,,,,,,,PPP
,,1,,A priori error estimates of two fully discrete coupled schemes for Biot's consolidation model,"Huipeng Gu, Mingchao Cai",,2022,Journal Article,,,,,,,,,,PPP
,,1,,"Antibiotic-Induced Changes in Pigment Accumulation, Photosystem II, and Membrane Permeability in a Model Cyanobacterium [M]","Busra N Aydin, Mst Sayadujjhara, Viji Sitther, Yavuz S Yalcin",,2022,Journal Article,,,,,,,,,,PPP
,,1,,Augmentation of the photoreactivation gene in Fremyella diplosiphon confers UV-B tolerance [E],"Behnam Tabatabai, Ladonna Wyatt, Samson M. Gichuki, Viji Sitther, Yavuz S Yalchin",,2022,Journal Article,Biology,,,,,,,,,PPP
,,1,,Building a diverse workforce and thinkforce to reduce health disparities [R],Richard Yanagihara,,2022,Journal Article,,,,,,,,,,PPP
,,1,,Building Capacity for Community-Academia Research Partnerships by Establishing a Physical Infrastructure for Community Engagement: Morgan CARES [EC],"Bethtrice Elliott, Emma Shaffer, Gillian Beth Silver, Payam Sheikhattari, Rifath Ara Alam Barsha, Valerie Odero-Marah, Yvonne Bronner",,2022,Journal Article,RCMI,,,,,,,,,PPP
,,1,,Decoupling Techniques for Coupled PDE Models in Fluid Dynamics [E],Mingchao Cai,,2022,Basic Science,,,,,,,,,,PPP
,,1,,Disparities in Coronavirus Disease 2019 Outcomes for African Americans: More Studies Are Warranted [M],"Hussien Ahmed H Abdelgawad, Shiva Mehravaran, Yun-Chi Chen",,2022,Journal Article,,,,,,,,,,PPP
,,1,,Micronutrient Biosynthesis Potential of Spontaneous Grain Fermentation Microbiomes [M],"Bahram Faraji, James Wachira, Margaret I Dania",,2022,Journal Article,,,,,,,,,,PPP
,,1,,Pandemic Fatigue and Anxiety Sensitivity as Associated Factors With Posttraumatic Stress Symptoms Among University Students in South Korea During the Prolonged COVID-19 …,"Hee Jun Kim, Ingrid Tulloch, Timothy J. Meeker",,2022,Journal Article,,,,,,,,,,PPP
,,1,,Phytotoxic effect of silver nanoparticles on seed germination and growth of terrestrial plants [E],Hua Deng,,2022,Journal Article,,,,,,,,,,PPP
,,1,,"Practitioner Research for Social Work, Nursing, and the Health Professions [M]","Gillian B. Silver, Payam Sheikhattari",,2022,Journal Article,,,,,,,,,,PPP
,,1,,"Research Infrastructure Core Facilities at Research Centers in Minority Institutions: Part I—Research Resources Management, Operation, and Best Practices [R]","James Wachira, Paul B Tchounwou",,2022,Health Disparities,,,,,,,,,,PPP
,,1,,Teaching Histology During Covid-19 Restrictions [M],"Adegoke Akingbade, Ajaynae Davis, Alonzo Allen, Caderal Jones, Deanna Manning, Frank Denaro, Jabari Moore, Justice Okemkpa, Myla Worthington, Simon Nyaga, Sumiko Williams, Talind Andrews, Tresherr Reaves, S. Stone",,2022,Journal Article,,,,,,,,,,PPP
,,1,,3D Auto Fluorescent Analysis of the Human Cornea [M],"Sophia Olatunji-Richa, Destiny Boddy, Fiyinfolu Atanda, Frank Denaro, James Wachira, Myla Worthington, Samara Dunham, J Johnson",,2023,Journal Article,Biology,,,,,,,,,PPP
,,1,,A Combination of Physics-Informed Neural Networks with the Fixed-Stress Splitting Iteration for Solving Biot's Model [E],Mingchao Cai,,2023,Basic Science,Mathematics,,,,,,,,,PPP
,,1,,"A Novel Approach to Locating Community Clinics to Promote Health Care Accessibility and Reduce Health Disparities in Baltimore, Maryland [E]","Andrew Tot Bui, Caitlin DeClercq, Eric Johnson, Mohammad Gharipour",,2023,Journal Article,,,,,,,,,,PPP
,,1,,A Systematic Review of the Evaluation of Endocrine Disrupting Chemicals on the Japanese Medaka (Oryzias latipes) Fish [R],"Alok K dasmahapatra, Paul B Tchounwou",,2023,Journal Article,,,,,,,,,,PPP
,,1,,A Varying Coefficient Model to Jointly Test Genetic and Gene–Environment Interaction Effects [E],Zhengyang Zhou,,2023,Basic Science,,,,,,,,,,PPP
,,1,,An iterative decoupled algorithm with unconditional stability for Biot model [E],"Huipeng Gu, Mingchao Cai",,2023,Journal Article,,,,,,,,,,PPP
,,1,,"Angiotensin II Increases Oxidative Stress and Inflammation in Female, But Not Male, Endothelial Cells [E]","Callie M Weber, Douglas F Dluzen, Mikayla N Harris, Nicole S Arnold",,2023,Journal Article,,,,,,,,,,PPP
,,1,,Autofluorescence Microscopy Can Reveal the Fine Structure of the Tooth,"D'aisha Pearson, Frank Denaro, Ian Simmons, Jalen Mack, Khijha Howard, Oryyon Vines, Randi Vereen",,2023,Journal Article,Biology,,,,,,,,,PPP
,,1,,Efficacy of a Smoking Cessation Program for Underserved Ethnic Minority Communities: Results of a Smoking Cessation Trial [M],"Farin Kamangar, Jummai Apata, Payam Sheikhattari",,2023,Journal Article,,,,,,,,,,PPP
,,1,,Health Promotion and Racial Disparity in COVID-19 Mortality Among African American Populations [E],Paul B. Tchounwou,,2023,Health Disparities,,,,,,,,,,PPP
,,1,,Histopathological Changes in the Heart of the HIV-1 Transgenic Rat [E],"Frank Denaro, Myla Worthington, Sumiko Williams",,2023,Basic Science,,,,,,,,,,PPP
,,1,,Identifying Optimal Locations for Potential Temporary Community Clinics During Public Health Emergencies [E],"Andrew Bui, Mohammad Gharipour, Salman Mohagheghi",,2023,Journal Article,,,,,,,,,,PPP
,,1,,"Imaging the Cellular Distribution of Amino Acid Derivatives of Tricarbonylrhenium (I) 1, 10-orthophenanthroline Compounds [M]","Birsen Varisli, James Wachira, Santosh Mandal",,2023,Journal Article,,,,,,,,,,PPP
,,1,,"Impact of Regional Mobility on Air Quality during COVID-19 Lockdown in Mississippi, USA Using Machine Learning [R]","Francis Tuluri, Paul B. Tchounwou",,2023,Journal Article,,,,,,,,,,PPP
,,1,,Lessons learned to improve COVID-19 response in communities with greatest socio-economic vulnerabilities [E],"Bethtrice Elliott, Emma Shaffer, Istiak Bhuyan, Payam Sheikhattari, Rifath Ara Alam Barsha",,2023,Journal Article,,,,,,,,,,PPP
,,1,,Managing Microscopy Research and Education Resources at a Medium-sized Institution [M],James Wachira,,2023,Basic Science,,,,,,,,,,PPP
,,1,,Microwave-assisted synthesis for a highly selective rhodamine 6G-derived fluorescent sensor and bioimaging [M],"Azmath Fathima, Birol Ozturk, Isaac Abiye, James Wachira, Oyedoyin Aduroja, Solomon Tadesse",,2023,Journal Article,,,,,,,,,,PPP
,,1,,Monday-Enhanced CEASE Program for Underserved Ethnic Minorities: a Mixed-Methods Study [E],"Adewumi Oladele, Fiyinfolu Atanda, Jummai Apata, Payam Sheikhattari, Rifath Ara Alam Barsha, Saman Fahimi, Yvonne Redmond",,2023,Journal Article,,,,,,,,,,PPP
,,1,,Neuromorphological Analysis of the Primate Claustrum [E],"Tamunobelema Solomon, Frank Denaro, Iyanuoluwa Sofowora, Jade Ladow, James Wachira, Precious Dike, Ric-Kell Holmes, Yusuf Liadi",,2023,Journal Article,,,,,,,,,,PPP
,,1,,Performance of Rhodamine-Sensitized Solar Cells Fabricated with Silver Nanoparticles [M],"Yucheng Lan, Isaac Abiye, Himsheela Karki, Fasil Abebe",,2023,Basic Science,,,,,,,,,,PPP
,,1,,Post biphosphonate mandible osteonecrosis: A case study and literature review [E],"Bambara H. Aboubacar, Valerie Odero Marah",,2023,Journal Article,,,,,,,,,,PPP
,,1,,Prostate cancer metastasis and health disparities: a systematic review [E],"Bethtrice Elliott, Maxine Harlemon, Precious Dike, Taaliah Campbell, Valerie Odero Marah, Yusuf Liadi",,2023,Journal Article,Center for Urban Health Disparities Research and Innovation,,,,,,,,,PPP
,,1,,Race by Education Intersectional Differences in Exposure to Tobacco Advertisement in Baltimore City [E],"Payam Sheikhattari, Jummai Apata",,2023,Health Disparities,,,,,,,,,,PPP
,,1,,Small CBPR Grants Program: An Innovative Model to Build Sustainable Academic-Community Partnerships [E],"Emma Shaffer, Gillian B. Silver, Jummai Apata, Payam Sheikhattari, Shiva Mehravaran",,2023,Journal Article,,,,,,,,,,PPP
,,1,,Some Optimally Convergent Algorithms for Decoupling the Computation of Biot’s Model [E],Mingchao Cai,,2023,Basic Science,,,,,,,,,,PPP
,,1,,Structural Tolerance of Zirconium Diboride under Electron Irradiation through in-situ Convergent Beam Electron Diffraction and Energy-dispersive X-ray Spectroscopy [E],"Grace Farrell, Mia Merritt, Yucheng Lan",,2023,Journal Article,,,,,,,,,,PPP
,,1,,The effects of COVID-19 on African American communities in Baltimore’s health enterprise zones: a mixed-methods examination [E],"Ludmila F Wikkeling-Scott, Mohammad Gharipour",,2023,Journal Article,,,,,,,,,,PPP
,,1,,"The interplay among HIV, monocytes/macrophages, and extracellular vesicles: a systematic review [E]","Romin Adhikari, Yun-Chi Chen",,2023,Journal Article,,,,,,,,,,PPP
,,1,,The Management of Diabetes Mellitus Using Medicinal Plants and Vitamins [E],"Clement G. Yedjou, Paul B Tchounwou",,2023,Journal Article,,,,,,,,,,PPP
,,1,,Training the Next Generation of HIV/AIDS Researchers [E],"Frank Denaro, K samuel",,2023,Basic Science,,,,,,,,,,PPP
,,1,,Zinc-Imidazolate Films as an All-Dry Resist Technology [E],"Paul Haghi-Ashtiani, Yucheng Lan",,2023,Journal Article,,,,,,,,,,PPP
,,1,,Behavioral and psychosocial correlates of hope among youth,,,2024,Behavioural,,,,,,,,,,PPP
,,1,,Health Promotion and Racial Disparity in COVID-19 Mortality Among African American Populations [E],Clement G. Yedjou,,2024,Journal Article,,,,,,,,,,PPP
,,1,,Household Income and Subsequent Youth Tobacco Initiation: Minorities’ Diminished Returns,"Payam Sheikhattari, Shervin Assari",,2024,Health Disparities,,,,,,,,,,PPP
,,1,,Microwave-assisted synthesis for a highly selective rhodamine 6G-derived fluorescent sensor and bioimaging [M],Fasil Abebe,,2024,Journal Article,,,,,,,,,,PPP
,,1,,Performance of Rhodamine-Sensitized Solar Cells Fabricated with Silver Nanoparticles [M],Bandana Ranamagar,,2024,Journal Article,,,,,,,,,,PPP
,,1,,Race by Education Intersectional Differences in Exposure to Tobacco Advertisement in Baltimore City [E],Rifath Ara Alam Barsha,,2024,Journal Article,,,,,,,,,,PPP
,,1,,Secondary analysis: heat and self-report pain sensitivity associate with biological sex and racialized sociocultural group but may not be mediated by anxiety or pain …,"Ingrid Tulloch, Timothy J. Meeker",,2024,Journal Article,,,,,,,,,,PPP
,,1,,Unveiling the potential of Muscadine grape Skin extract as an innovative therapeutic intervention in cancer treatment,"Sarah Otun, Valerie Odero Marah",,2024,Journal Article,,,,,,,,,,PPP
,,1,,"Immigration, Educational Attainment, and Subjective Health in the United States",Rifath Ara Alam Barsha,,2024,Journal Article,,,,,,,,,,PPP
,,1,,What is Common Becomes Normal; Black-White Variation in the Effects of Adversities on Subsequent Initiation of Tobacco and Marijuana During Transitioning into Adolescence,"Shervin Assari, Payam Sheikhattari",,2024,Journal Article,,,,,,,,,,PPP
,,1,,"Microplastic Volatile Organic Compounds Found within Chrysaora chesapeakei in the Patuxent River, Maryland","Carol A. Smith, Santosh Mandal, Chunlei Fan, Saroj Pramanik",,2024,Journal Article,,,,,,,,,,PPP
,,1,,Sex Differences in the Relationship Between Nucleus Accumbens Volume and Youth Tobacco or Marijuana Use Following Stressful Life Events,"Payam Sheikhattari, Shervin Assari",,2024,Journal Article,,,,,,,,,,PPP
,,1,,Changes in the Chemical Composition of Polyethylene Terephthalate Under UV Radiation in Various Environmental Conditions,"Sara Rostampour, YueJin Li, Chunlei Fan",,2024,Journal Article,,,,,,,,,,PPP
,,1,,Conforming and Nonconforming Virtual Element Methods for Signorini Problems,"Yuping Zeng, Mingchao Cai",,2024,Journal Article,,,,,,,,,,PPP
