Row Type,Category ID,Is Active,Sort Order,Icon,Title,Note,Open By Default,Start Number,Item ID,Description,Sub Items
item,biological-assay,Yes,30,,,,,,biological-assay-30,GE Amersham 680R gel imaging system for DNA and protein gels capable of chemiluminescence and fluorescence in Western blots.,
item,biological-assay,Yes,40,,,,,,biological-assay-40,Bio-Rad NGC Quest 10 System. An FPLC (fast protein liquid chromatography) system for protein purification to homogeneity.,
item,biological-assay,Yes,50,,,,,,biological-assay-50,One (1) Invitrogen iBind Automated Western Systems that automate the western blot processing (immunodetection) steps.,
item,biological-assay,Yes,60,,,,,,biological-assay-60,Two (2) Invitrogen iBlot Gel Transfer Devices to perform Western blotting transfer within several minutes without the need for buffers.,
item,biological-assay,Yes,70,,,,,,biological-assay-70,"Three (2) Invitrogen Mini Gel Tanks that allow electrophoresis of 1 or 2 mini gels, with power supplies and mini-blot transfer modules.",
category,biomedical-imaging,Yes,40,🔬,Biomedical Imaging,,No,1,,,
item,biomedical-imaging,Yes,10,,,,,,biomedical-imaging-10,"Nikon Eclipse TE2000-S: fluorescence microscope that includes new optics, digital cameras and software.",
item,biomedical-imaging,Yes,20,,,,,,biomedical-imaging-20,"Nikon Eclipse 90i upright microscope equipped with BF, FL, and DIC optics, motorized focus and Nikon 100W mercury power supply, a Lumenera 3 digital camera, Image-Pro Plus image analysis software, and Dell Optiplex 5040 workstation.",
item,biomedical-imaging,Yes,30,,,,,,biomedical-imaging-30,"JEOL JEM-1400 transmission electron microscope with 120 kV accelerating voltage; electron gun assembly with Cool Beam Illumination System - LaB6 filament standard with a comprehensive Energy Dispersive X-ray Microanalysis system, including all the tools required to perform qualitative and quantitative analysis, image capture, image centric analysis, and X-ray spectral analysis. Accessories include a NanoSprint43L-Mark II AMT 43-megapixel bottom-mount camera, double-tilt beryllium specimen holder, high-tilt specimen retainer, and hard x-ray aperture for HR PP, Aztec Energy standard EDS, and Xplore Detector standard microanalysis system with Xplore Large Area Analytical Drift Detector.",
item,biomedical-imaging,Yes,40,,,,,,biomedical-imaging-40,"JCM-7000 NeoScope™ Benchtop Scanning Electron Microscope offers high-resolution imaging capabilities, allowing for detailed visualization of sample surfaces. It can achieve magnifications up to 100,000x, with a resolution of 8 nm.",
item,biomedical-imaging,Yes,50,,,,,,biomedical-imaging-50,"Leica STELLARIS 5 Confocal Microscope with integrated White Light Laser, Acousto-Optical Beam Splitter, Power HyD S detectors, and ImageCompass smart user interface; capable of multicolor FL, DIC, 3D, and stage-top incubation for live-cell imaging at 10x, 20x, and 63x (oil) objectives.",
item,biomedical-imaging,Yes,60,,,,,,biomedical-imaging-60,"Tokai Hit Stage Top Incubator maintains precise control of temperature, humidity, and CO2 for live-cell imaging on the Leica Stellaris 5.",
item,biomedical-imaging,Yes,70,,,,,,biomedical-imaging-70,Leica S9i digital stereo microscope with a zoom range of .61x - 5.5x for a total magnification of 6.1x - 55x with 10x eyepieces. Integrated 10 M.P. camera with 1080P HD video display and capture via HDMI cable.,
category,nanomaterials,Yes,50,⚛️,Nanomaterials Research,,No,1,,,
item,nanomaterials,Yes,10,,,,,,nanomaterials-10,"Zetasizer Nano: for characterization of nanomaterials such as size, aggregation and charge.",
category,molecular-separations,Yes,60,🧞,Molecular Separations and Identification,,No,1,,,
item,molecular-separations,Yes,10,,,,,,molecular-separations-10,"Xevo TQ-XS Triple Quadrupole Mass Spectrometer is a tandem quadrupole, atmospheric pressure ionization (API) mass spectrometer. It is designed for routine HPLC-MS/MS and UPLC-MS/MS analyses in quantitative and qualitative applications, and can operate at fast acquisition speeds compatible with UltraPerformance LC.",
item,molecular-separations,Yes,20,,,,,,molecular-separations-20,Xevo TQ-GC Mass Spectrometry System is a robust Electron Ionization (EI) and Chemical Ionization (CI) Gas Chromatography (GC)-MS/MS platform that allows routine quantification of multiple contaminants in complex matrices.,
item,molecular-separations,Yes,30,,,,,,molecular-separations-30,"Flashsmart Elemental Analyzer for quantitative determination of nitrogen, carbon, hydrogen, sulfur and oxygen. Flexible handling of any sample type: solids, liquid, viscous, volatile and gas.",
item,molecular-separations,Yes,40,,,,,,molecular-separations-40,NGC Quest 10 Chromatography System has automated 10 ml/min pumps that provide accurate gradients for high-resolution separation of proteins and biomolecules and supports automated sample injection using fixed or dynamic loops.,
item,molecular-separations,Yes,50,,,,,,molecular-separations-50,"Agilent 6546 Q-TOF LC/MS System with Agilent Jet Stream source, oil foreline pump, bundled PC, monitor, MassHunter software suite – at the low and high concentrations with simultaneous delivery of five orders of in-spectrum dynamic range and mass resolution over 60k (for high masses) and over 30k (for low masses).",
item,molecular-separations,Yes,60,,,,,,molecular-separations-60,Agilent 7800 ICP-MS enables analysis of major and trace analytes in a single run – the wide dynamic range orthogonal detector system (ODS) enables direct analysis of major elements (100s or 1000s of ppm) and trace level analytes (single or sub-ppt) in a single run.,
item,molecular-separations,Yes,70,,,,,,molecular-separations-70,"Fluorolog-QM: enables steady-state and time-resolved luminescence measurements, including time-correlated single photon counting (TCSPC) and photoluminescence quantum yield (PLQY) measurements. All-reflective optics, resulting in exceptional focus across its entire wavelength range (180 nm to 5500 nm).",
category,tissue-prep-histology,Yes,70,🧞,Tissue Preparation/Histology,,No,1,,,
item,tissue-prep-histology,Yes,10,,,,,,tissue-prep-histology-10,PELCO Pella BioWavePro+ Microwave System: rapid processing of thin tissue sections for histological analysis (allows two to three assays per day).,
item,tissue-prep-histology,Yes,20,,,,,,tissue-prep-histology-20,PELCO SteadyTemp™ Pro+ Solid State Chiller with Digital Control.,
item,tissue-prep-histology,Yes,30,,,,,,tissue-prep-histology-30,Leica CM1860 cryostat for immunohistochemistry and histology applications.,
item,tissue-prep-histology,Yes,40,,,,,,tissue-prep-histology-40,Leica paraffin embedding station.,
item,tissue-prep-histology,Yes,50,,,,,,tissue-prep-histology-50,Leica rotary microtome for paraffin-embedded tissues.,
item,tissue-prep-histology,Yes,60,,,,,,tissue-prep-histology-60,Ultramicrotome Station with a LEICA EM UC7 Ultramicrotome for consistent high quality Electron Microscopy (EM) sections at room temperature and a LEICA EM KMR3 Glass Knife Maker and Paraffin Embedding station.,
item,tissue-prep-histology,Yes,70,,,,,,tissue-prep-histology-70,Covaris S2 Ultrasonicator: single-tube system for high-performance sample preparation using adaptive focused acoustic energy. GE Multitemp III water bath included for constant temperature.,
item,tissue-prep-histology,Yes,80,,,,,,tissue-prep-histology-80,"LABCONCO Freezone 2.5L Lyophilizer with vacuum pump, freeze drying glassware, and 8-port manifold.",
category,data-analysis,Yes,80,💻,Data Analysis,,No,1,,,
item,data-analysis,Yes,10,,,,,,data-analysis-10,"Two (2) Dell Precision 7920 Towers, Intel Xeon Silver 4214 2.2GHz, 3.2GHz Turbo, 12C, 9.6GT/s 2UPI, 16.5MB Cache, HT (85W) DDR4-2400 1st, NVIDIA Quadro P5000, 16GB, 4 DP, DL-DVI-D (7X20T), 256GB 4x64GB DDR4 2666MHz LRDIMM ECC Memory, 2.5"" 1TB SATA Class 20 SSD.",
item,data-analysis,Yes,20,,,,,,data-analysis-20,"HP 2023 Pavilion 2-in-1 14"" FHD Touch Screen Business Laptop, Intel Quad-Core i5-1135G7 2.4 GHz, 32GB DDR4, 1TB SSD, Fingerprint Reader, 8.5 Hours Battery, Bluetooth, Wifi, Windows 11 Pro, Gold, MarsPC.",
item,data-analysis,Yes,30,,,,,,data-analysis-30,Software packages:,Graphpad Prism|STATA statistical software|FLOWJO flow cytometry software|LipidSearch Lipid Identification software|ImageQuantTL for gel/blot and image analysis|DNASTAR Lasergene|Spartan computational chemistry software|Schrodinger/maestro for molecular modeling|FIJI/ImageJ|Cellprofiler
category,cell-culture,Yes,90,🦠,Cell Culture,,No,1,,,
item,cell-culture,Yes,10,,,,,,cell-culture-10,Dixon Room 218D is equipped with a Class II/Type B2 laminar flow hood suitable for microbiological studies involving BSL-2 agents.,
item,cell-culture,Yes,20,,,,,,cell-culture-20,"Dixon Room 207 is a multi-user cell culture facility equipped with CO2 incubators, a Zeiss Axiovert 200 inverted microscope, a microplate centrifuge, and a TC-20 automated cell counter.",
category,centrifugation,Yes,100,🌀,Centrifugation,,No,1,,,
item,centrifugation,Yes,10,,,,,,centrifugation-10,Beckman-Coulter Avanti J25I high speed centrifuge (max. 25000xg),
item,centrifugation,Yes,20,,,,,,centrifugation-20,"Optima L-100XP ultracentrifuge (max. 802,400xg)",
item,centrifugation,Yes,30,,,,,,centrifugation-30,"Optima MAX-TL tabletop ultracentrifuge (max. 657,000xg)",
category,other-multi-user,Yes,110,🛠️,Other Multi-User Equipment,Located in or near the Dixon Research Building,No,4,,,
item,other-multi-user,Yes,10,,,,,,other-multi-user-10,Real-Time PCR: MX3000P Real-Time PCR System. Multiplexing capabilities of 4 dyes using a photomultiplier tube (PMT) detector. The dynamic range of 7 orders of magnitude. The excitation range of 350mm–750mm and the emission range is 350mm–700mm.,
item,other-multi-user,Yes,20,,,,,,other-multi-user-20,Eppendorf Thermal Cycler: Accepts multiple 0.2ml and 0.5ml tubes and it can perform gradient amplifications. It is ideal for routine PCR and cloning experiments.,
item,other-multi-user,Yes,30,,,,,,other-multi-user-30,"Allegra X-22R Centrifuge: Cooled bench-top centrifuge with rotors for microcentrifuge tubes, 15ml, and 50ml tubes.",
item,other-multi-user,Yes,40,,,,,,other-multi-user-40,"Electrophoresis: Various gel electrophoresis apparatus for nucleic acids and proteins including Ettan IPGphor II IEF System. A fully programmable integrated isoelectric focusing equipment capable of running up to 12 IPG strips (7, 11, 13, 18, or 24 cm) simultaneously. The system is cooled by a Peltier platform and has an integral 8000V power supply.",
item,other-multi-user,Yes,50,,,,,,other-multi-user-50,"Shaking Incubators ideal for cell culture studies, cell aeration, bacterial aeration, and metabolism studies. Accommodates multiple volumes of culture flasks and includes a static shelf for culture plates.",
item,other-multi-user,Yes,60,,,,,,other-multi-user-60,"Sample concentrator: Vacufuge Concentrator for concentrating DNA/RNA, nucleotides, proteins, and other samples in 96 x 1.5-2.0ml sample format. Automatic vacuum release prevents sample loss due to bumping and foaming.",
item,other-multi-user,Yes,70,,,,,,other-multi-user-70,Nuclear Magnetic Resonance Spectrophotometer (NMR) (DI108): 400 MHz Ultrashield NMR BRUKER Bio Spin.,
item,other-multi-user,Yes,80,,,,,,other-multi-user-80,"Gas Chromatogram-Mass Spectrophotometers (GCMS) (Spencer Hall (SP) RMs 206 and 313 and DI113): HP 6890 GCMS system, which includes: HP 6890 series GC system, HP 5973 Mass Selective Detector (MSD), and Agilent 7683 Series injector. Agilent 6890N network GCMS system, which includes: Agilent 6890N Network GC system, Agilent 5973 inert Mass Selective Detector (MSD), Agilent G188 Network Head Space Sampler, Agilent 7683 Series Autosampler, and Agilent 7683B Series injector. Saturn 2200 GCMS system from Agilent Technologies (Varian) GCMS Qp50/50A system Shimadzu Scientific.",
item,other-multi-user,Yes,90,,,,,,other-multi-user-90,"Liquid Chromatogram-Mass Spectrophotometer (LCMS) (SP206): Agilent 1100 LC/MSD System, which includes: Agilent 1100 LC/MSD, G1322A Online Vacuum Degasser, G1311A Quaternary Pump G1313A, Automatic Liquid Sampler G1316A Column Compartment, and G1315B Diode Array Detector.",
